clustera,wt.1mm.fpkm,wt.2mm.fpkm,tip.IM/SPM.ear.fpkm,mid.SM.ear.fpkm,base.FM.ear.fpkm,stg1.tassel.fpkm,stg2.tassel.fpkm,stg3.tassel.fpkm
1,12.1312,12.336,13.5823,6.3569,7.4616,8.1536,8.3051,7.3891
1,1.7279,1.4612,1.832,1.2005,1.2118,0.9966,0.4142,0.7557
1,7.5028,9.6023,8.7238,7.8175,6.4936,2.6192,3.1012,4.0406
1,10.86,17.7964,15.5866,7.1757,10.578,12.1766,10.0582,13.7317
1,6.7401,15.9499,14.1421,9.7637,11.7745,11.6874,10.0685,8.3355
1,37.559,66.4343,26.7601,7.1134,1.3902,0.2963,0.4568,0.1001
1,4.4322,4.7658,8.054,3.6836,4.4897,2.7027,2.5514,1.5909
1,1.8697,2.9448,1.6956,0.4958,0.127,0,1.2278,0.4481
1,2.2682,3.271,3.8971,2.4479,2.2775,1.85,0.856,2.2049
1,11.9641,11.6314,12.0946,4.6068,5.1086,10.9346,5.0566,5.3355
1,0.4565,1.0732,0.8463,0.3878,0.4411,0.5604,0.7356,0.6317
1,17.6614,20.9622,26.6357,8.0615,9.4431,15.2932,7.7779,5.2703
1,1.9382,3.5397,4.7714,0.5999,0.4346,1.0785,0.9322,1.1105
1,205.2613,259.4523,289.096,189.554,144.02,204.863,155.374,107.121
1,3.9126,3.4598,3.8001,1.9978,1.7348,2.7117,1.98,1.3392
1,5.7782,6.0603,9.5089,3.9177,6.8604,3.3053,2.9269,3.0145
1,1.7073,1.8047,2.482,0,0.0745,1.2937,0.8634,0.093
1,9.2573,11.9289,13.8401,4.5315,5.6249,5.8693,4.5644,3.9683
1,3.972,3.9704,6.8879,2.642,3.4514,2.4462,1.4608,3.0681
1,17.5733,14.6428,19.9743,9.6514,5.3328,3.9768,3.1134,4.2046
1,4.3259,7.2331,6.7206,3.6856,3.7198,4.3318,3.8895,3.7527
1,5.4567,9.0121,9.5189,6.0633,5.8744,4.8203,2.9532,4.8305
1,12.2078,15.5021,19.4023,13.4211,13.1088,10.2179,9.2585,11.3227
